id,date,publication,author,headline,items
1473,2021-08-06,Business Standard, Dilasha seth & Indivjal Dhasmana,Govt buries retro tax,"Cairn Energy, retro tax, retrospective tax, arbitration"
1474,2021-08-06,The Times Of India,Bureau,"Cairn soars 26% on LSE, positive for Voda Idea","Cairn Energy, arbitration"
1475,2021-08-06,The Times Of India,Bureau,"Govt brings bill to axe retro tax imposed on Voda, Cairn","Cairn plc, retrospective tax, arbitration"
1476,2021-08-06,The Asian Age, Madhusudan Sahoo,Govt brings bill to drop retro tax,"Cairn Energy, arbitration"
1477,2021-08-06,Deccan Chronicle, Madhusudan Sahoo,Centre moves Bill to scrap retro tax,"Cairn Energy, retro tax, arbitration"
1478,2021-08-06,The Economic Times,Bureau,Centre Moves Bill to Scrap Retro Tax Law,"Cairn Energy, arbitration"
1479,2021-08-06,Hindustan Times, Rajeev Jayaswal,Centre moves bill in House to stop retro tax,"Cairn Energy, retrospective tax, arbitration"
1480,2021-08-06,Hindustan Times, Rajeev Jayaswal,Centre moves bill in House to stop retro tax.,"Cairn Energy, retrospective tax, arbitration"
1481,2021-08-06,Hindustan Times, Rajeev Jayaswal,Centre Moves Bill In House To Stop Retro Tax,"Cairn Energy, retrospective tax, arbitration"
1482,2021-08-06,The Free Press Journal,Bureau,"Bill in LS to junk tax demand on Cairn, Voda","Cairn Energy, retrospective tax, arbitration"
1483,2021-08-06,The Times Of India,Bureau,Govt brings bill to axe retro tax imposed on Vodafone and Cairn,"Cairn plc, retrospective tax, arbitration"
1484,2021-08-06,Hindustan Times, Rajeev Jayaswal,Centre moves bill in House to stop retro tax,"Cairn Energy, retrospective tax, arbitration"
1485,2021-08-06,The Pioneer,Bureau,"Centre buries retro taxes, Bill to nix demand on Cairn, Vodafone","Cairn Energy, retrospective tax, arbitration"
1486,2021-08-06,The Pioneer,Bureau,"Centre buries retro taxes, Bill to nix demand on Cairn, Vodafone","Cairn Energy, retrospective tax, arbitration"
1487,2021-08-06,The Pioneer,Bureau,Govt exorcises retro tax ghost,"Cairn Energy, retrospective tax, arbitration"
1488,2021-08-06,Mint,Bureau,The end of retro tax,"Cairn Energy, arbitration"
1489,2021-08-06,The Pioneer,Bureau,"Centre buries retro taxes, Bill to nix demand on Cairn, Vodafone","Cairn Energy, retrospective tax, arbitration"
